,cocktail_name,glass_id,category_ids
866,The Poncho,4,2
867,Hai Karate,5,5
868,Cara Sposa,4,7
869,Traditional Martini (Dry),4,8
870,Pina Agave,4,2
871,Grande Guignol,4,5
872,Pancho Villa,4,2
873,Paloma (Natural),5,2
874,Golden Friendship,5,5
875,Paloma,5,2
876,Pacific Sunshine,457,2
877,Golden Eclipse,4,5
878,Diplomat Cocktail,4,8
879,Oldest Temptation,4,2
880,Ginger Grapefruit Rickey,39,5
881,Calvados Cocktail,4,7
882,Daiquiri Cocktail,4,8
883,The Oaxaca Old-Fashioned,1,2
884,Cuban Special Cocktail,4,8
885,Gaugin,1,5
886,The Nomad South,1,2
887,Creole Lady Cocktail,4,8
888,No. 8,4,2
889,Fog Cutter,5,5
890,Mexicola,5,2
891,Floridita No. 3,9,5
892,Mexican Monk,4,2
893,Floridita No. 1,4,5
894,Mexican Madras,1,2
895,Cadiz,1,7
896,Chocolate Soldier Cocktail,4,8
897,Fireman's Sour,1,5
898,Fat Like Buddha,4,5
899,Cherry Blossom Cocktail,4,8
900,Fair-and-Warmer Cocktail,4,5
901,Chelsea Sidecar Cocktail,4,8
