name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
The Joe Lewis,Whiskies,1 1/2 oz, Scotch Whiskey,1 oz, Fresh carrot juice,3/4 oz, Tawny port,1/2 oz, Fresh lemon juice,1 oz, Agave nectar,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bacardi Cocktail,Cocktail Classics,1 1/2 oz, Bacardi Rum,1/2 oz, Juice of a Lime,1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Apple Pie No. 1,Cocktail Classics,3/4 oz, Light Rum,3/4 oz, Sweet Vermouth,1 oz, Apple Brandy,1/2 oz, Grenadine,1 oz, Lemon Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Yolanda,Cocktail Classics,1/2 oz, Brandy,1/2 oz, Gin,1/2 oz, Anisette,1 oz, Sweet Vermouth,1 oz, Grenadine,,,Shake with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
Yellow Rattler,Cocktail Classics,1 oz, Gin,1 oz, Orange Juice,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,,,,,Shake with ice and strain into cocktail glass. Garnish with a cocktail onion.,Cocktail Glass,6
Why Not?,Cocktail Classics,1 oz, Gin,1 oz, Apricot Flavored Brandy,1/2 oz, Dry Vermouth,1 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Amaretto Stinger,Cordials and Liqueurs,1 1/2 oz, Amaretto,3/4 oz, White creme de menthe,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
What The Hell,Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1 oz, Apricot Flavored Brandy,1 oz, Lemon Juice,,,,,Stir in old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Webster Cocktail,Cocktail Classics,1/2 oz, Juice of a Lime,1 1/2 oz, Apricot Flavored Brandy,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Union Jack Cocktail,Cocktail Classics,3/4 oz, Sloe gin,1 1/2 oz, Gin,1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jocose Julep,Whiskies,2 1/2 oz, Bourbon whiskey,1/2 oz, Green creme de menthe,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,5 oz, Fresh mint leaves,, Soda water,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.,Collins Glass,14
Trinity Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,3/4 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Three Stripes Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Dry Vermouth,1 oz, Orange Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Tanq-A-Rita,Cocktail Classics,1 1/2 oz,Gin,3 oz, Margarita Mix,1 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Amaretto Sour,Cordials and Liqueurs,1 1/2 oz, Amaretto,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1, Orange half-wheel,,,,,Shake with ice and strain into chilled sour glass. Garnish with an orange slice.,Cordial or Pony Glass,2
Tailspin Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Sweet Vermouth,3/4 oz, Green Chartreuse,1 oz, Orange Bitters,,,,,Stir with ice and strain into cocktail glass. Garnish with a lemon twist and a cherry or an olive.,Cocktail Glass,6
Sweet Patootie Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Triple Sec,1 oz, Orange Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Sunshine Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,1 1/2 oz, Gin,1 oz, Bitters,,,,,,,Stir with ice and strain into cocktail glass. Garnish with an orange twist,Cocktail Glass,6
Spring Feeling Cocktail,Cocktail Classics,1 oz, Lemon Juice,1/2 oz, Green Chartreuse,1 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Sphinx Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass. Garnish with a lemon slice.,Cocktail Glass,6
Jitterbug Sour,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Benedictine,3/4 oz, Fresh lemon juice,1/2 oz, Honey Syrup,1 oz, Egg White,1 dash, Angostura Bitters,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and garnish with a lemon twist.,Cocktail Glass,6
Southern Gin Cocktail,Cocktail Classics,2 oz, Gin,2 oz, Orange Bitters,1/2 oz, Triple Sec,,,,,,,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Society Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,1/4 oz, Grenadine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Snyder,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Smiler Cocktail,Cocktail Classics,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1 oz, Gin,1 oz, Bitters,1/4 oz, Orange Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Smile Cocktail,Cocktail Classics,1 oz, Grenadine,1 oz, Gin,1/2 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Amaretto Rose,Cordials and Liqueurs,1 1/2 oz, Amaretto,1/2 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Soda water,,,,,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.,Collins Glass,14
Sand-Martin Cocktail,Cocktail Classics,1 oz, Green Chartreuse,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Irish Whiskey Highball,Whiskies,2 oz, Irish Whiskey,1 oz, Ginger ale or soda water,1 oz, Lemon twist (optional),,,,,,,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7
Japanese,Brandy,2 oz, Brandy,1/2 oz, orgeat or almond syrup,2 oz, Angostura Bitters,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Roselyn Cocktail,Cocktail Classics,3/4 oz, Dry Vermouth,1 1/2 oz, Gin,1/2 oz, Grenadine,,,,,,,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Resolute Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1/2 oz, Apricot Flavored Brandy,1 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Racquet Club Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,1 oz, Orange Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Amaretto And Cream,Cordials and Liqueurs,1 1/2 oz, Amaretto,1 1/2 oz, half-and-half,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Pollyanna Cocktai,Cocktail Classics,3 oz, Orange,3 oz, Pineapple ,2 oz, Gin,1/2 oz, Sweet Vermouth,1/2 oz, Grenadine,,,Muddle ingredients. Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Plaza Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,3/4 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Irish Whiskey Cocktail,Whiskies,2 oz, Irish Whiskey,1/2 oz, Triple Sec,1/2 oz, Anisette,1/4 oz, Maraschino liqueur,1 oz, Angostura Bitters,1, Green olive,Stir with ice and strain into chilled cocktail glass. Garnish with an olive.,Cocktail Glass,6
Absinthe Special Cocktail,Cordials and Liqueurs,1 1/2 oz, Absinthe,1/4 oz, Simple Syrup,1 oz, Orange Bitters,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Nineteenth Hole,Cocktail Classics,1 1/2 oz, Gin,1 oz, Dry Vermouth,1 oz, Sweet Vermouth,1 oz, Bitters,,,,,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Montreal Club Bouncer,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Anisette,,,,,,,,,Pour into old-fashioned glass over ice cubes. Stir.,Old-Fashioned Glass,6
Monte Carlo Imperial Highball,Cocktail Classics,2 oz, Gin,1/2 oz, White creme de menthe,1/4 oz, Juice of a Lemon,, Chilled Champagne,,,,,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.,Highball Glass,7
Irish Shillelagh,Whiskies,1 1/2 oz, Irish Whiskey,1 oz, Light Rum,1/2 oz, Sloe gin,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1," Fresh raspberries and strawberries, 2 peach slices, maraschino cherry","Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and a cherry.",Irish Coffee Glass,8
Melon Cocktail,Cocktail Classics,2 oz, Gin,1/4 oz, Lemon Juice,1/4 oz, Maraschino,,,,,,,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Martini (Medium),Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,,,,,,,Follow directions for Martini preparation.,Cocktail Glass,6
Martini (Dry) (5-to-1),Cocktail Classics,1 2/3 oz, Gin,1/3 oz, Dry Vermouth,,,,,,,,,Follow directions for Martini preparation.,Cocktail Glass,6
Mamie's Sister,Cocktail Classics,1 oz, Juice of a Lime,2 oz, Gin,, Ginger ale,,,,,,,"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir.",Collins Glass,14
Irish Rickey,Whiskies,1 1/2 oz, Irish Whiskey,1/2 oz, Fresh Lime Juice,1 oz, Soda water,1 oz, Lime wedge,,,,,Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with a lime slice.,Highball Glass,7
Maiden's Prayer,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Triple Sec,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lone Tree Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
London Buck,Cocktail Classics,2 oz, Gin,1/2 oz, Juice of a Lemon,, Ginger ale,,,,,,,Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.,Highball Glass,7
Leap Frog Highball,Cocktail Classics,1/2 oz, Juice of a Lemon,2 oz, Gin,, Ginger ale,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7
Incider Cocktail,Whiskies,1 1/2 oz, Rye or bourbon whiskey,4 oz, Apple cider,1 oz, Apple slice,,,,,,,Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with an apple slice.,Old-Fashioned Glass,6
Kup's Indispensable Cocktail,Cocktail Classics,1/2 oz, Light Vermouth,1/2 oz, Dry Vermouth,1 1/2 oz, Gin,1 oz, Bitters,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Knock-Out Cocktail,Cocktail Classics,1/2 oz, Anisette,3/4 oz, Gin,3/4 oz, Dry Vermouth,1 oz, Creme de Menthe (White),,,,,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
K. G. B. Cocktail,Cocktail Classics,1/2 oz, Kummel,1 1/2 oz, Gin,1/4 oz, Apricot Flavored Brandy,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Imperial Fizz,Whiskies,1 1/2 oz, Bourbon or Rye Whiskey,1/2 oz, Light Rum,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Soda water,,,Shake first four ingredients with ice and strain into ice-filled highball glass. Fill with soda water and stir.,Highball Glass,7
Jeyplak Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Sweet Vermouth,1/4 oz, Anisette,,,,,,,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
H. P. W. Cocktail,Cocktail Classics,1 1/2 oz, Dry Vermouth,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
I.A.P.,Whiskies,2 oz, Tennessee whiskey,1/4 oz, Fernet-Branca,3 oz, Cola,,,,,,,Build in ice-filled Collins glass.,Collins Glass,14
Hotel Plaza Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,3/4 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Hoffman House Cocktail,Cocktail Classics,3/4 oz, Dry Vermouth,1 1/2 oz, Gin,,,,,,,,,Stir with ice and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Hawaiin Cocktail,Cocktail Classics,2 oz, Gin,1 oz, Pineapple Juice,1/2 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
White Russian,Vodka,2 oz, Vodka,1 oz, Coffee liqueur,, Milk or half-and-half,,,,,,,Pour vodka and coffee liqueur into ice-filled old-fashioned glass. Fill with milk or half-and-half.,Old-Fashioned Glass,6
Greyhound,Cocktail Classics,1 1/2 oz, Gin,5 oz, Grapefruit Juice,,,,,,,,,Pour into highball glass over ice cubes. Stir well.,Highball Glass,7
Green Devil,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Green creme de menthe,1 oz, Lime Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with mint.,Old-Fashioned Glass,6
Greenback,Cocktail Classics,1 1/2 oz, Gin,1 oz, Green creme de menthe,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Grapefruit Cocktail,Cocktail Classics,1 oz, Grapefruit Juice,1 oz, Gin,1 oz, Maraschino,,,,,,,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6
Hotel D'alsace,Whiskies,1 oz, Fresh rosemary sprig,2 oz, Irish Whiskey,1/2 oz, Benedictine,1/2 oz, Triple Sec,,,,,Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with rosemary.,Old-Fashioned Glass,6
Jamaica Granito,Brandy,1 1/2 oz, Brandy,1 oz, Triple Sec,1 oz, Lemon or Orange Sherbet, Soda water,, Freshly grated nutmeg,,,,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.,Collins Glass,14
Gin Sling,Cocktail Classics,1 oz, Powdered Sugar,1 oz, Water,1/2 oz, Juice of a Lemon,2 oz, Gin,,,,,Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Garnish with an orange twist,Old-Fashioned Glass,6
Gin Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Gin,1 oz, Milk,,,,,,,"Shake with ice, strain into collins glass, and top with nutmeg.",Collins Glass,14
Horse's Neck (With A Kick),Whiskies,1 oz, Wide spiral of lemon zest,2 oz, Bourbon whiskey,1 oz, Ginger ale,,,,,,,Insert the lemon spiral in Collins glass with one end hanging over the rim. Fill glass with ice cubes. Add whiskey. Fill with ginger ale and stir well.,Collins Glass,14
Gin and It,Cocktail Classics,2 oz, Gin,1 oz, Sweet Vermouth,,,,,,,,,Stir ingredients in cocktail glass. (No ice is used in this drink.),Cocktail Glass,6
Gin Cocktail,Cocktail Classics,2 oz, Gin,2 oz, Bitters,,,,,,,,,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
West Side,Vodka,1 1/2 oz, lemon-flavored vodka,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,6, Fresh mint leaves, Soda water,,,,Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.,Cocktail Glass,6
Gimlet ,Cocktail Classics,1 oz, Lime Juice,1 oz, Powdered Sugar,1 1/2 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Free Silver,Cocktail Classics,1/4 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 1/2 oz, Gin,1/2 oz, Dark rum,1 oz, Milk,, Club Soda,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.,Collins Glass,14
Frankenjack Cocktail,Cocktail Classics,1 oz, Gin,3/4 oz, Dry Vermouth,1/2 oz, Apricot Flavored Brandy,1 oz, Triple Sec,1/2 oz, Juice of a Lime,1 1/2 oz, Gin & ginger ale,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Fog Horn,Cocktail Classics,1/2 oz, Juice of a Lime,1 1/2 oz, Gin & ginger ale,2 oz, Gin,1 oz, Triple Sec,,,,,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Garnish with a lime slice.,Highball Glass,7
Flying Dutchman,Cocktail Classics,2 oz, Gin,1 oz, Triple Sec,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Hoot Mon Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,3/4 oz, Sweet Vermouth,1 oz, Benedictine,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Fifty-Fifty Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Dry Vermouth,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Favorite Cocktail,Cocktail Classics,3/4 oz, Apricot Flavored Brandy,3/4 oz, Dry Vermouth,3/4 oz, Gin,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Farmer's Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,2 oz, Bitters,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Warsaw Cocktail,Vodka,1 1/2 oz, Vodka,1/2 oz, Blackberry-flavored brandy,1/2 oz, Dry Vermouth,1 oz, Fresh lemon juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Emerald Isle Cocktail,Cocktail Classics,2 oz, Gin,1 oz, Green creme de menthe,3 oz, Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Du Barry Cocktail,Cocktail Classics,1 oz, Bitters,3/4 oz, Dry Vermouth,1/2 oz, Anisette,1 1/2 oz, Gin,,,,,Stir with ice and strain into cocktail glass. Garnish with an orange slice.,Cocktail Glass,6
Dry Martini (5-to-1),Cocktail Classics,1 2/3 oz, Gin,1/3 oz, Dry Vermouth,,,,,,,,,"Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Garnish with a lemon twist or an olive, if desired.",Cocktail Glass,6
Dixie Cocktail,Cocktail Classics,1/4 oz, Juice of Orange,1 oz, Anisette,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Delmonico No. 2,Cocktail Classics,1 oz, Orange Bitters,1 oz, Dry Vermouth,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Hole-In-One,Whiskies,1 3/4 oz,Blended Scotch Whiskey,3/4 oz, Dry Vermouth,1/4 oz, Fresh lemon juice,1 oz, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Vodka Stinger,Vodka,1 oz, Vodka,1 oz, White creme de menthe,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Caruso,Cocktail Classics,1 1/2 oz, Gin,1 oz, Dry Vermouth,1/2 oz, Green creme de menthe,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Bulldog Highball,Cocktail Classics,1/2 oz, Juice of Orange,2 oz, Gin,, Ginger ale,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7
Brown Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Light Rum,3/4 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Bronx Terrace Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Dry Vermouth,1/2 oz, Juice of a Lime,,,,,,,Shake with  ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Bronx Cocktail (Dry),Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1/4 oz, Juice of Orange,,,,,,,Shake with ice and strain into cocktail glass. Garnish with an orange slice.,Cocktail Glass,6
Hill Dog,Whiskies,1 1/2 oz, White whiskey,1/2 oz, Grand Marnier,1/2 oz, Dry Sherry,1/2 oz, Lavender Syrup, Orange twist,,,,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Blue Devil Cocktail,Cocktail Classics,1 oz, Gin,1/2 or 1 ,Juice of Lemon or Lime,1 oz, Maraschino,1/2 oz, Blue curacao,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Blue Canary,Cocktail Classics,3/4 oz, Gin,3 oz, Grapefruit Juice,1 oz, Blue curacao,,,,,,,Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.,Cocktail Glass,6
Blue Bird,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Triple Sec,1 oz, Bitters,,,,,,,Stir with ice cubes and strain into cocktail glass. Garnish with a lemon twist and a cherry.,Cocktail Glass,6
Bloodhound Cocktail,Cocktail Classics,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,1 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass. Garnish with two or three crushed strawberries.,Cocktail Glass,6
Billy Taylor,Cocktail Classics,1/2 oz, Juice of a Lime,2 oz, Gin,, Club Soda,,,,,,,Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.,Collins Glass,14
Bijou Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Green Chartreuse,3/4 oz, Sweet Vermouth,1 oz, Orange Bitters,,,,,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Bermuda Rose ,Cocktail Classics,1 1/4 oz, Gin,1 1/2 oz, Apricot Flavored Brandy,1 1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Vodka Sour,Vodka,2 oz, Vodka,2 oz, Vodka,3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup," Lemon half-wheel, maraschino cherry",,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon slice and a cherry.,Cocktail Glass,6
Apricot Anisette Collins,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Apricot Flavored Brandy,1 1/2 oz, Anisette,1 oz, Lemon Juice, Club Soda,,,,Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a lemon slice.,Collins Glass,14
Alexander's Sister Cocktail,Cocktail Classics,1 oz, Dry gin,1 oz, Green creme de menthe,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass. Top with nutmeg.,Cocktail Glass,6
Highland Cooler,Whiskies,2 oz, Blended Scotch Whiskey,1/2 oz, Simple Syrup,, Soda water or ginger ale,, Lemon and/or orange zest spiral(s),,,,,Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Garnish with an orange twist or a lemon twist.,Collins Glass,14
Alexander Cocktail No. 1,Cocktail Classics,1 oz, Gin,1 oz, Creme de Cacao (White),1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass. Top with nutmeg.,Cocktail Glass,6
Adam and Eve,Cocktail Classics,1 oz, Forbidden Fruit,1 oz, Gin,1 oz, Brandy,1 oz, Lemon Juice,,,,,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6
Vodka Sling,Vodka,2 oz, Vodka,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Orange twist,,,,,"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Garnish with an orange twist.",Old-Fashioned Glass,6
Jack Rose Cocktail,Brandy,1 1/2 oz, Applejack,1/2 oz, Fresh Lime Juice,1/4 oz, Grenadine,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Tempter Cocktail,Cocktail Classics,1 oz, Port,1 oz, Apricot Flavored Brandy,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Special Rough Cocktail,Cocktail Classics,1 1/2 oz, Apple Brandy,1 1/2 oz, Brandy,1/2 oz, Anisette,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Vodka Grasshopper,Vodka,3/4 oz, Vodka,3/4 oz, Green creme de menthe,3/4 oz, White creme de cacao,3/4 oz, half-and-half,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Singapore Sling,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Gin,, Club Soda,1/2 oz, cherry-flavored brandy,,,"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Top with cherry-flavored brandy. Garnish with fruits and serve with straws.",Collins Glass,14
Saratoga Cocktail,Cocktail Classics,2 oz, Brandy,2 oz, Bitters,1 oz, Lemon Juice,1 oz, Pineapple Juice,1/2 oz, Maraschino,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
High Cotton,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Pimm's No. 1 Cup,1/2 oz, Dubonnet Rouge,2 oz, Peach bitters," Lemon twist, fresh mint sprig",,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon slice and mint.,Cocktail Glass,6
Polonaise,Cocktail Classics,1 1/2 oz, Brandy,1 oz, Blackberry-flavored brandy,1/2 oz, Dry Sherry,1 oz, Lemon Juice,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Vodka Gimlet,Vodka,1 1/2 oz, Vodka,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Merry Widow Cocktail No. 2,Cocktail Classics,1 1/4 oz, Maraschino,1 1/4 oz, cherry-flavored brandy,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6
Lugger,Cocktail Classics,1 oz, Brandy,1 oz, Apple Brandy,1 oz, Apricot Flavored Brandy,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jamaica Hop,Cocktail Classics,1 oz, Coffee-flavored brandy,1 oz, Creme de Cacao (White),1 oz, Light cream,,,,,,,Shake well with ice and strain into cocktail glass.,Cocktail Glass,6
