name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Apricot Lady,Cocktail Classics,1 1/4 oz, Light Rum,1 oz, Apricot-Flavored Brandy,1/4 oz, Triple Sec,1 oz, Lime Juice,1 oz, Egg White,,,Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Garnish with an orange slice.,Old-Fashioned Glass,6
Apricot Anise Collins,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Apricot-Flavored Brandy,1 1/2 oz, Anisette,1 oz, Lemon Juice,,,,,Shake with ice and strain into Collins glass over ice. Fill with carbonated water and stir lightly. Garnish with a lemon slice.,Collins Glass,14
Apple Rum Rickey,Cocktail Classics,3/4 oz, Applejack,3/4 oz, Light Rum,1/4 oz, Lime,,,,,,,Pour applejack and rum into highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop into glass. Stir.,Highball Glass,7
Sloppy Joe's Cocktail No. 1,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Dry Vermouth,1/2 oz, Triple Sec,1 oz, Fresh Lime Juice,1/2 oz, Grenadine,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Applejack Punch,Cocktail Classics,1 3/4 oz,Applejack,4 oz, Grenadine,16 oz, Orange Juice,64 Ginger ale,,,,1 oz, Whole Egg,Combine first three ingredients in punch bowl with large block of ice. Add ginger ale and garnish with an apple slice.,Punch Cup,3
Brandy Flip,Cocktail Classics,1,Whole Egg,1 oz, Powdered Sugar,1 1/2 oz, Brandy,2 oz, Light Cream (if desired),,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
Sir Walter Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Brandy,1 oz, Grenadine,1 oz, Triple Sec,1 oz, Fresh lemon juice,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Saxon Cocktail,Rum - Daiquiris,1 3/4 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/2 oz, Grenadine, Orange twist,,,,,,Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Boston Bullet,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,,,,,,,,,Stir or shake with ice and strain into cocktail glass.  Garnish with an olive stuff with an almond.,Cocktail Glass,6
Sargasso,Rum - Daiquiris,2 oz, Aged rhum agricole,3/4 oz, Dry Sherry,1/2 oz, Aperol,2 oz, Angostura Bitters,, Orange twist,,,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Santiago Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,1/2 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Black Velvet,Cocktail Classics,5 oz, Chilled Stout,5 oz, Chilled Champagne,,,,,,,,,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",Champagne Flute,6
Saint Lucy Bracer,Rum - Daiquiris,2 oz, Dark rum,1/2 oz, Butterscotch schnapps,1/2 oz, Sweet Vermouth,2 oz, Angostura Bitters,," Edible flower, such as nasturtium",,,Stir with ice and strain into chilled cocktail glass. Garnish with a flower.,Cocktail Glass,6
Applecar,Cocktail Classics,1 oz, Applejack,1 oz, Triple Sec,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Apple Blow Fizz,Cocktail Classics,1 oz, Egg White,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Apple Brandy,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water.,Highball Glass,7
Antoine Special,Cocktail Classics,1 1/2 oz, Dubonnet,1 1/2 oz, Dry Vermouth,,,,,,,,,Float vermouth on top of chilled Dubonnet in a wine glass.,Red-Wine Glass,12
Ante,Cocktail Classics,1 oz, Apple Brandy,1/2 oz, Triple Sec,1 oz, Dubonnet,,,,,,,Stir well with cracked ice and strain into cocktail glass.,Cocktail Glass,6
S & V,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Creole Shrubb (rum-based orange liqueur),1/2 oz, Ruby port,1/2 oz, Fresh Lime Juice,, Lime wheel,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Rum Toddy (Cold),Rum - Daiquiris,2 oz, Light or dark rum,1/2 oz, Water,1 oz, Simple Syrup, Lemon twist,,,,1/2 oz, Brandy,"Stir rum, water, and syrup in old-fashioned glass. Add large cube of ice. Garnish with a lemon twist.",Old-Fashioned Glass,6
Deauville Cocktail,Brandy,1/2 oz, Brandy,1/2 oz, Apple Brandy,1/2 oz, Triple Sec,1/2 oz, Fresh lemon juice,,,1 oz, Dry Vermouth,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Allies Cocktail,Cocktail Classics,1 oz, Dry Vermouth,1 oz, Gin,1/2 oz, Kummel,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Rum Swizzle,Rum - Daiquiris,2 oz, Light or dark rum,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,2 oz, Angostura Bitters,, Soda water,,,"Combine first four ingredients in ice-filled Collins glass. With bar spoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Top with soda water. Serve with a swizzle stick.",Collins Glass,14
A. J.,Cocktail Classics,1 1/2 oz, Applejack,1 oz, Grapefruit Juice,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
After Supper Cocktail,Cocktail Classics,1 oz, Apricot-Flavored Brandy,1 oz, Triple Sec,1/2 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Rum Sour,Rum - Daiquiris,2 oz, Light Rum,3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup," Lemon half-wheel, maraschino cherry",,,,,,Shake with ice and strain into chilled sour glass. Garnish with a lemon slice and a cherry.,Cordial or Pony Glass,2
Acapulco,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Lime Juice,1 1/2 oz, Triple Sec,1 oz, Sugar,1, Egg White,,,Combine and shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Garnish with mint.,Old-Fashioned Glass,6
Absinthe Drip Cocktail,Cocktail Classics,1 1/2 oz, Anis,1 oz, Sugar,,,,,,,,,"Pour Anis into special drip glass or old-fashioned cocktail glass. Place sugar cube over hole of drip spoon (or in silver tea strainer). Pack spoon or strainer with cracked ice, pour cold water to fill. When water has dripped through, drink is ready.",Old-Fashioned Glass,6
Ambrosia,Cocktail Classics,1 oz, Applejack,1 oz, Brandy,1 oz, Triple Sec,1 Juice of a Lemon,,, Chilled Champagne,,,Shake all ingredients except champagne. Pour contents into highball glass with cubed ice. Fill with chilled champagne.,Highball Glass,7
Rum Screwdriver,Rum - Daiquiris,1 1/2 oz, Light Rum,5 oz, Orange juice,,,,,,,,,Stir rum and orange juice in ice-filled highball glass.,Highball Glass,7
Rum Rickey,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Fresh Lime Juice,, Soda water, Lime wedge,,,,,,Pour rum and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with a lime slice.,Highball Glass,7
Scotch Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Creme de Menthe (White),1 1/2 oz, Desmond & Duff Scotch Whisky,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Rum Relaxer,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Pineapple Juice,1/2 oz, Grenadine, Lemon-lime soda,,," Orange wheel, maraschino cherry",,,Shake first three ingredients with ice and pour with ice into hurricane or parfait glass. Fill glass with lemon-lime soda. Garnish with an orange slice and a cherry.,Hurricane Glass,14
Rum Old-Fashioned,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, 151-Proof Rum,1 oz, Simple Syrup,1 oz, Angostura Bitters,, Lemon twist,,,Stir in ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Rum Martini,Rum - Daiquiris,2 oz, Light Rum,1 oz, Dry Vermouth,, Lemon twist,,,,,,,Stir rum and vermouth with ice in mixing glass. Strain into ice-filled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Rum Highball,Rum - Daiquiris,2 oz, Light or dark rum,, Ginger ale or soda water,, Lemon twist,,,,,,,Pour rum into highball glass over ice cubes. Fill with ginger ale or soda water and stir. Garnish with a lemon twist.,Highball Glass,7
Rum Fix,Rum - Daiquiris,2 1/2 oz, Light Rum,1 oz, Fresh lemon or lime juice,1/2 oz, Simple Syrup, Lemon wheel,,,,,,Pour ingredients into ice-filled highball glass and stir. Garnish with a lemon slice. Serve with a straw.,Highball Glass,7
Rum Daisy,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh lemon juice,1 oz, Simple Syrup,1 oz, Grenadine,, Fresh seasonal fruit,,,Shake with ice and strain into chilled beer mug or metal cup. Add 1 large ice cube. Garnish with fruit.,Beer Mug,10
D'artagnan,Brandy,1 oz, Armagnac,1 oz, Grand Marnier,1 oz, Simple Syrup,1/2 oz, Orange juice,3 oz, Chilled Champagne,, orange zest ,Shake first four ingredients with ice and strain into champagne flute. Top with Champagne. Garnish with an orange twist.,Champagne Flute,6
Rum Cooler,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Simple Syrup,2 oz, Soda water, Soda water or ginger ale,,, Orange and/or lemon zest,,,"Stir rum and syrup in Collins glass. Fill with ice, add soda water or ginger ale, and stir again. Garnish with a lemon twist.",Collins Glass,14
