name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Amaretto And Cream,Cordials and Liqueurs,1.5 oz, Amaretto,1.5 oz, half-and-half,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Pollyanna Cocktai,Cocktail Classics,3 oz, Orange,3 oz, Pineapple ,2 oz, Gin,.5 oz, Sweet Vermouth,.5 oz, Grenadine,,,,Muddle ingredients. Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Plaza Cocktail,Cocktail Classics,.75 oz, Sweet Vermouth,.75 oz, Dry Vermouth,.75 oz, Gin,,,,,,,Pineapple Slice,Shake with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Irish Whiskey Cocktail,Whiskies,2 oz, Irish Whiskey,.5 oz, Triple Sec,.5 oz, Anisette,.25 oz, Maraschino liqueur,1 oz, Angostura Bitters,,,Olive,Stir with ice and strain into chilled cocktail glass. Garnish with an olive.,Cocktail Glass,6
Absinthe Special Cocktail,Cordials and Liqueurs,1.5 oz, Absinthe,.25 oz, Simple Syrup,1 oz, Orange Bitters,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Nineteenth Hole,Cocktail Classics,1.5 oz, Gin,1 oz, Dry Vermouth,1 oz, Sweet Vermouth,1 oz, Bitters,,,,,Olive,Stir with ice in mixing glass and strain into cocktail glass and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Montreal Club Bouncer,Cocktail Classics,1.5 oz, Gin,.5 oz, Anisette,,,,,,,,,,Pour into old-fashioned glass over ice cubes. Stir.,Old-Fashioned Glass,6
Monte Carlo Imperial Highball,Cocktail Classics,2 oz, Gin,.5 oz, White creme de menthe,.25 oz, Juice of a Lemon,, Chilled Champagne,,,,,,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.,Highball Glass,7
Irish Shillelagh,Whiskies,1.5 oz, Irish Whiskey,1 oz, Light Rum,.5 oz, Sloe gin,1 oz,  lemon juice,.5 oz, Simple Syrup,,,"Berries, Peach Slices, Cherry","Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and a cherry.",irish_coffee,8
Melon Cocktail,Cocktail Classics,2 oz, Gin,.25 oz, Lemon Juice,.25 oz, Maraschino,,,,,,,Cherry,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Martini (Medium),Cocktail Classics,1.5 oz, Gin,.5 oz, Dry Vermouth,.5 oz, Sweet Vermouth,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass. ,Cocktail Glass,6
Martini (Dry) (5-to-1),Cocktail Classics,1.66 oz, Gin,.33 oz, Dry Vermouth,,,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass. ,Cocktail Glass,6
Mamie's Sister,Cocktail Classics,1 oz, Juice of a Lime,2 oz, Gin,, Ginger ale,,,,,,,,"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir.",Collins Glass,14
Irish Rickey,Whiskies,1.5 oz, Irish Whiskey,.5 oz,  Lime Juice,1 oz, Soda water,,,,,,,Lime Slice,Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with a lime slice.,Highball Glass,7
Maiden's Prayer,Cocktail Classics,1.5 oz, Gin,.5 oz, Triple Sec,1 oz, Lemon Juice,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lone Tree Cocktail,Cocktail Classics,.75 oz, Sweet Vermouth,1.5 oz, Gin,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
London Buck,Cocktail Classics,2 oz, Gin,.5 oz, Juice of a Lemon,, Ginger ale,,,,,,,,Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.,Highball Glass,7
Leap Frog Highball,Cocktail Classics,.5 oz, Juice of a Lemon,2 oz, Gin,, Ginger ale,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7
Incider Cocktail,Whiskies,1.5 oz, Rye or bourbon whiskey,4 oz, Apple cider,1 oz, Apple slice,,,,,,,Apple Slice,Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with an apple slice.,Old-Fashioned Glass,6
Kup's Indispensable Cocktail,Cocktail Classics,.5 oz, Light Vermouth,.5 oz, Dry Vermouth,1.5 oz, Gin,1 oz, Bitters,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Knock-Out Cocktail,Cocktail Classics,.5 oz, Anisette,.75 oz, Gin,.75 oz, Dry Vermouth,1 oz, Creme de Menthe (White),,,,,Cherry,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
K. G. B. Cocktail,Cocktail Classics,.5 oz, Kummel,1.5 oz, Gin,.25 oz, Apricot Flavored Brandy,.25 oz, Lemon Juice,,,,,Lemon Twist,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Imperial Fizz,Whiskies,1.5 oz, Bourbon or Rye Whiskey,.5 oz, Light Rum,1 oz,  lemon juice,.5 oz, Simple Syrup,1 oz, Soda water,,,,Shake first four ingredients with ice and strain into ice-filled highball glass. Fill with soda water and stir.,Highball Glass,7
Jeyplak Cocktail,Cocktail Classics,1.5 oz, Gin,.75 oz, Sweet Vermouth,.25 oz, Anisette,,,,,,,Cherry,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
H. P. W. Cocktail,Cocktail Classics,1.5 oz, Dry Vermouth,1.5 oz, Sweet Vermouth,1.5 oz, Gin,,,,,,,Orange Twist,Stir with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
I.A.P.,Whiskies,2 oz, Tennessee whiskey,.25 oz, Fernet-Branca,3 oz, Cola,,,,,,,,Build in ice-filled Collins glass.,Collins Glass,14
Hotel Plaza Cocktail,Cocktail Classics,.75 oz, Sweet Vermouth,.75 oz, Dry Vermouth,.75 oz, Gin,,,,,,,Pineapple Slice,Stir with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Hoffman House Cocktail,Cocktail Classics,.75 oz, Dry Vermouth,1.5 oz, Gin,,,,,,,,,Olive,Stir with ice and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Hawaiin Cocktail,Cocktail Classics,2 oz, Gin,1 oz, Pineapple Juice,.5 oz, Triple Sec,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
White Russian,Vodka,2 oz, Vodka,1 oz, Coffee liqueur,, Milk or half-and-half,,,,,,,,Pour vodka and coffee liqueur into ice-filled old-fashioned glass. Fill with milk or half-and-half.,Old-Fashioned Glass,6
Greyhound,Cocktail Classics,1.5 oz, Gin,5 oz, Grapefruit Juice,,,,,,,,,,Pour into highball glass over ice cubes. Stir well.,Highball Glass,7
Green Devil,Cocktail Classics,1.5 oz, Gin,1.5 oz, Green creme de menthe,1 oz, Lime Juice,,,,,,,Mint,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with mint.,Old-Fashioned Glass,6
Greenback,Cocktail Classics,1.5 oz, Gin,1 oz, Green creme de menthe,1 oz, Lemon Juice,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Grapefruit Cocktail,Cocktail Classics,1 oz, Grapefruit Juice,1 oz, Gin,1 oz, Maraschino,,,,,,,Cherry,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6
Hotel D'alsace,Whiskies,1 oz,  rosemary sprig,2 oz, Irish Whiskey,.5 oz, Benedictine,.5 oz, Triple Sec,,,,,Rosemary,Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with rosemary.,Old-Fashioned Glass,6
Jamaica Granito,Brandy,1.5 oz, Brandy,1 oz, Triple Sec,1 oz, Lemon or Orange Sherbet,, Soda water, ,,,,Nutmeg,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.,Collins Glass,14
Gin Sling,Cocktail Classics,1 oz, Powdered Sugar,1 oz, Water,.5 oz, Juice of a Lemon,2 oz, Gin,,,,,Orange Twist,Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Garnish with an orange twist,Old-Fashioned Glass,6
Gin Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Gin,1 oz, Milk,,,,,,,Nutmeg,"Shake with ice, strain into collins glass, and top with nutmeg.",Collins Glass,14
Horse's Neck (With A Kick),Whiskies,1 oz, Wide spiral of lemon zest,2 oz, Bourbon whiskey,1 oz, Ginger ale,,,,,,,Lemon Twist,Fill Collins glass with ice cubes. Add whiskey. Fill with ginger ale and stir well. Garnish with lemon twist.,Collins Glass,14
Gin and It,Cocktail Classics,2 oz, Gin,1 oz, Sweet Vermouth,,,,,,,,,,Stir ingredients in cocktail glass. (No ice is used in this drink.),Cocktail Glass,6
Gin Cocktail,Cocktail Classics,2 oz, Gin,2 oz, Bitters,,,,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Gimlet ,Cocktail Classics,1 oz, Lime Juice,1 oz, Powdered Sugar,1.5 oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Free Silver,Cocktail Classics,.25 oz, Juice of a Lemon,.5 oz, Powdered Sugar,1.5 oz, Gin,.5 oz, Dark rum,1 oz, Milk,, Club Soda,,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.,Collins Glass,14
Frankenjack Cocktail,Cocktail Classics,1 oz, Gin,.75 oz, Dry Vermouth,.5 oz, Apricot Flavored Brandy,1 oz, Triple Sec,.5 oz, Juice of a Lime,1.5 oz, Gin & ginger ale,Cherry,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Fog Horn,Cocktail Classics,.5 oz, Juice of a Lime,1.5 oz, Gin & ginger ale,2 oz, Gin,1 oz, Triple Sec,,,,,Lime Slice,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Garnish with a lime slice.,Highball Glass,7
Flying Dutchman,Cocktail Classics,2 oz, Gin,1 oz, Triple Sec,,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Hoot Mon Cocktail,Whiskies,1.5 oz, Blended Scotch Whiskey,.75 oz, Sweet Vermouth,1 oz, Benedictine,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Fifty-Fifty Cocktail,Cocktail Classics,1.5 oz, Gin,1.5 oz, Dry Vermouth,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Favorite Cocktail,Cocktail Classics,.75 oz, Apricot Flavored Brandy,.75 oz, Dry Vermouth,.75 oz, Gin,.25 oz, Lemon Juice,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Farmer's Cocktail,Cocktail Classics,1 oz, Gin,.5 oz, Dry Vermouth,.5 oz, Sweet Vermouth,2 oz, Bitters,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Warsaw Cocktail,Vodka,1.5 oz, Vodka,.5 oz, Blackberry-flavored brandy,.5 oz, Dry Vermouth,1 oz,  lemon juice,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Emerald Isle Cocktail,Cocktail Classics,2 oz, Gin,1 oz, Green creme de menthe,3 oz, Bitters,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Du Barry Cocktail,Cocktail Classics,1 oz, Bitters,.75 oz, Dry Vermouth,.5 oz, Anisette,1.5 oz, Gin,,,,,Orange Slice,Stir with ice and strain into cocktail glass. Garnish with an orange slice.,Cocktail Glass,6
Dry Martini (5-to-1),Cocktail Classics,1.66 oz, Gin,.33 oz, Dry Vermouth,,,,,,,,,"Lemon Twist, Olive","Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Garnish with a lemon twist or an olive, if desired.",Cocktail Glass,6
Dixie Cocktail,Cocktail Classics,.25 oz, Juice of Orange,1 oz, Anisette,.5 oz, Dry Vermouth,1 oz, Gin,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Delmonico No. 2,Cocktail Classics,1 oz, Orange Bitters,1 oz, Dry Vermouth,1.5 oz, Gin,,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Hole-In-One,Whiskies,1.75 oz,Blended Scotch Whiskey,.75 oz, Dry Vermouth,.25 oz,  lemon juice,1 oz, Orange Bitters,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Vodka Stinger,Vodka,1 oz, Vodka,1 oz, White creme de menthe,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Caruso,Cocktail Classics,1.5 oz, Gin,1 oz, Dry Vermouth,.5 oz, Green creme de menthe,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Bulldog Highball,Cocktail Classics,.5 oz, Juice of Orange,2 oz, Gin,, Ginger ale,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7
Brown Cocktail,Cocktail Classics,.75 oz, Gin,.75 oz, Light Rum,.75 oz, Dry Vermouth,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Bronx Terrace Cocktail,Cocktail Classics,1.5 oz, Gin,1.5 oz, Dry Vermouth,.5 oz, Juice of a Lime,,,,,,,Cherry,Shake with  ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Bronx Cocktail (Dry),Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,.25 oz, Juice of Orange,,,,,,,Orange Slice,Shake with ice and strain into cocktail glass. Garnish with an orange slice.,Cocktail Glass,6
Hill Dog,Whiskies,1.5 oz, White whiskey,.5 oz, Grand Marnier,.5 oz, Dry Sherry,.5 oz, Lavender Syrup,,,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Blue Devil Cocktail,Cocktail Classics,1 oz, Gin,0.75 oz,Juice of Lemon or Lime,1 oz, Maraschino,.5 oz, Blue curacao,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Blue Canary,Cocktail Classics,.75 oz, Gin,3 oz, Grapefruit Juice,1 oz, Blue curacao,,,,,,,Mint,Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.,Cocktail Glass,6
Blue Bird,Cocktail Classics,1.5 oz, Gin,.5 oz, Triple Sec,1 oz, Bitters,,,,,,,"Lemon Twist, Cherry",Stir with ice cubes and strain into cocktail glass. Garnish with a lemon twist and a cherry.,Cocktail Glass,6
Bloodhound Cocktail,Cocktail Classics,.5 oz, Dry Vermouth,.5 oz, Sweet Vermouth,1 oz, Gin,,,,,,,Strawberry,Shake with ice and strain into cocktail glass. Garnish with two or three crushed strawberries.,Cocktail Glass,6
Billy Taylor,Cocktail Classics,.5 oz, Juice of a Lime,2 oz, Gin,, Club Soda,,,,,,,,Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.,Collins Glass,14
Bijou Cocktail,Cocktail Classics,.75 oz, Gin,.75 oz, Green Chartreuse,.75 oz, Sweet Vermouth,1 oz, Orange Bitters,,,,,Cherry,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Bermuda Rose ,Cocktail Classics,1.25 oz, Gin,1.5 oz, Apricot Flavored Brandy,1.5 oz, Grenadine,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Vodka Sour,Vodka,2 oz, Vodka,2 oz, Vodka,.75 oz,  lemon juice,.75 oz, Simple Syrup,,,,,"Lemon Slice, Cherry",Shake with ice and strain into chilled cocktail glass. Garnish with a lemon slice and a cherry.,Cocktail Glass,6
Alexander's Sister Cocktail,Cocktail Classics,1 oz, Dry gin,1 oz, Green creme de menthe,1 oz, Light cream,,,,,,,Nutmeg,Shake with ice and strain into cocktail glass. Top with nutmeg.,Cocktail Glass,6
Highland Cooler,Whiskies,2 oz, Blended Scotch Whiskey,.5 oz, Simple Syrup,, Soda water or ginger ale,,,,,,,"Orange Twist, Lemon Twist",Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Garnish with an orange twist or a lemon twist.,Collins Glass,14
Alexander Cocktail No. 1,Cocktail Classics,1 oz, Gin,1 oz, Creme de Cacao (White),1 oz, Light cream,,,,,,,Nutmeg,Shake with ice and strain into cocktail glass. Top with nutmeg.,Cocktail Glass,6
Adam and Eve,Cocktail Classics,1 oz, Forbidden Fruit,1 oz, Gin,1 oz, Brandy,1 oz, Lemon Juice,,,,,,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6
Vodka Sling,Vodka,2 oz, Vodka,1 oz,  lemon juice,.5 oz, Simple Syrup,,,,,,,Orange Twist,"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Garnish with an orange twist.",Old-Fashioned Glass,6
Jack Rose Cocktail,Brandy,1.5 oz, Applejack,.5 oz,  Lime Juice,.25 oz, Grenadine,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Tempter Cocktail,Cocktail Classics,1 oz, Port,1 oz, Apricot Flavored Brandy,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Special Rough Cocktail,Cocktail Classics,1.5 oz, Apple Brandy,1.5 oz, Brandy,.5 oz, Anisette,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Vodka Grasshopper,Vodka,.75 oz, Vodka,.75 oz, Green creme de menthe,.75 oz, White creme de cacao,.75 oz, half-and-half,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Singapore Sling,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Gin,, Club Soda,.5 oz, cherry-flavored brandy,,,Pineapple Slice,"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Top with cherry-flavored brandy. Garnish with pineapple slice and serve with straws.",Collins Glass,14
Saratoga Cocktail,Cocktail Classics,2 oz, Brandy,2 oz, Bitters,1 oz, Lemon Juice,1 oz, Pineapple Juice,.5 oz, Maraschino,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
High Cotton,Whiskies,2 oz, Straight rye whiskey,.5 oz, Pimm's No. 1 Cup,.5 oz, Dubonnet Rouge,2 oz, Peach bitters,,,,,"Lemon Slice, Mint",Stir with ice and strain into chilled cocktail glass. Garnish with a lemon slice and mint.,Cocktail Glass,6
Polonaise,Cocktail Classics,1.5 oz, Brandy,1 oz, Blackberry-flavored brandy,.5 oz, Dry Sherry,1 oz, Lemon Juice,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Vodka Gimlet,Vodka,1.5 oz, Vodka,1 oz,  Lime Juice,.5 oz, Simple Syrup,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Merry Widow Cocktail No. 2,Cocktail Classics,1.25 oz, Maraschino,1.25 oz, cherry-flavored brandy,,,,,,,,,Cherry,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6
Lugger,Cocktail Classics,1 oz, Brandy,1 oz, Apple Brandy,1 oz, Apricot Flavored Brandy,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jamaica Hop,Cocktail Classics,1 oz, Coffee-flavored brandy,1 oz, Creme de Cacao (White),1 oz, Light cream,,,,,,,,Shake well with ice and strain into cocktail glass.,Cocktail Glass,6
Hebrides,Whiskies,1.5 oz, Single-malt Scotch whisky,.5 oz, Maraschino liqueur,.5 oz, Triple Sec,2 oz, Apple juice,.5 oz,  lemon juice,1 oz, Angostura Bitters,,Pour into ice-filled Collins glass and stir.,Collins Glass,14
Hennessy Martini,Cocktail Classics,2 oz, Hennessy V.S Cognac,.5 oz, Lemon Juice,,,,,,,,,Lemon Twist,"Fill shaker or mixing glass with ice. Add Hennessy and lemon juice. Stir gently, don't shake. Let settle. Strain into chilled martini glass. Garnish with a lemon twist.",Cocktail Glass,6
Vodka Daisy,Vodka,2 oz, Vodka,1 oz,  lemon juice,.5 oz, Simple Syrup,1 oz, Grenadine,,,,,Seasonal Fruit,Shake with ice. Strain into ice-filled beer mug or metal cup. Garnish with seasonal fruit.,ROCK,10
Heavenly Dram,Whiskies,2 oz, Single-malt Scotch whisky,.5 oz, Pedro Ximenez sherry,.75 oz,  lemon juice,.25 oz, Honey Syrup,,,,,Lemon Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Classic Cocktail,Cocktail Classics,.25 oz, Juice of a Lemon,1.5 oz, Curacao,1.5 oz, Maraschino,1 oz, Brandy,,,,,Powdered Sugar,Prepare rim of old-fashioned glass by rubbing with lemon and dipping into powdered sugar. Shake ingredients with ice and strain into prepared glass.,Old-Fashioned Glass,6
Cherry Sling,Cocktail Classics,2 oz, cherry-flavored brandy,.5 oz, Juice of a Lemon,,,,,,,,,Lemon Twist,Serve in old-fashioned glass filled with ice cubes and stir. Garnish with a lemon twist.,Old-Fashioned Glass,6
Cherry Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,2 oz, cherry-flavored brandy,, Club Soda,,,,,,,Cherry,Shake with ice and strain into highball glass with two ice cubes. Fill with club soda and garnish with a cherry.,Highball Glass,7
Vodka Cooler,Vodka,2 oz, Vodka,.5 oz, Simple Syrup,, Soda water or ginger ale,,,,,,,"Orange Twist, Lemon Twist",Stir vodka and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Garnish with an orange twist or a lemon twist.,Collins Glass,14
Carrol Cocktail,Cocktail Classics,1.5 oz, Brandy,.75 oz, Sweet Vermouth,,,,,,,,,Cherry,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Button Hook Cocktail,Cocktail Classics,.5 oz, Creme de Menthe (White),.5 oz, Apricot Flavored Brandy,.5 oz, Anisette,.5 oz, Brandy,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Bull's Eye,Cocktail Classics,1 oz, Brandy,2 oz, Hard cider,, Ginger ale,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7
Brantini,Cocktail Classics,1.5 oz, Brandy,1 oz, Gin,,1 oz,,,,,,,Lemon Twist,Stir with cracked ice and strain into old-fashioned glass with cubed ice. Garnish with a lemon twist,Old-Fashioned Glass,6
Heather's Kiss,Whiskies,2.25 oz, Blended Scotch Whiskey,.5 oz,  lemon juice,,.25 oz,1 oz, Absinthe,,,,,Applie Slice,Shake with ice strain into chilled cocktail glass. Garnish with an apple slice.,Cocktail Glass,6
Brandy Squirt,Cocktail Classics,1.5 oz, Brandy,1 oz, Powdered Sugar,,1 oz,, Club Soda,,,,,"Pineapple Slice, Strawberry",Shake with ice and strain into highball glass and fill with club soda. Garnish with a pineapple slice and a strawberry.,Highball Glass,7
Brandy and Soda,Cocktail Classics,2 oz, Brandy,, Club Soda,,,,,,,,,,Pour brandy into collins glass with ice cubes. Fill with club soda.,Collins Glass,14
Brandy Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Brandy,,1 oz,,,,,,,Nutmeg,"Shake with ice, strain into collins glass, and top with nutmeg.",Collins Glass,14
Vodka Collins,Vodka,2 oz, Vodka,.75 oz,  lemon juice,,.75 oz,, Soda water,,,,,"Lemon Slice, Orange Slice, Cherry","Shake vodka, lemon juice, and syrup and strain into ice-filled Collins glass. Fill with soda water and stir. Garnish with a lemon slice, an orange slice, and a cherry. Serve with a straw.",Collins Glass,14
Brandy Crusta Cocktail,Cocktail Classics,1 oz, Maraschino,1 oz, Bitters,,1 oz,.5 oz, Triple Sec,2 oz, Brandy,,,"Orange Slice, Lemon Twist, Sugar",Moisten the edge of a cocktail glass with lemon and dip into sugar. Place lemon twist in glass. Stir above ingredients with ice and strain into sugar-rimmed glass. Garnish with an orange slice.,Cocktail Glass,6
Heather Blush,Whiskies,1 oz, Blended Scotch Whiskey,1 oz, Strawberry liqueur,,3 oz,,,,,,,Strawberry,Pour Scotch and liqueur into chilled champagne flute. Top with sparkling wine. Garnish with a strawberry.,champagne_flute,6
Jack Maples,Brandy,2 oz, Applejack,1 oz, maple syrup (grade B or medium-amber),,1 oz,,,,,,,Cinnamon Stick,Stir with ice and strain into cocktail glass. Garnish with a cinnamon stick.,Cocktail Glass,6
Brandy Alexander,Cocktail Classics,.5 oz, Creme de Cacao (Brown),.5 oz, Brandy,,.5 oz,,,,,,,,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6
Vodka and Tonic,Vodka,2 oz, Vodka,, Tonic water,,,,,,,,,"Lemon Slice, Lime Slice",Pour vodka into highball glass over ice. Add tonic and stir. Garnish with a lemon slice or a lime slice.,Highball Glass,7
Apricot Cocktail,Cocktail Classics,.25 oz, Juice of a Lemon,.25 oz, Juice of Orange,,1.5 oz,1 oz, Gin,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Alexander Cocktail No. 2,Cocktail Classics,1 oz, Creme de Cacao (White),1 oz, Brandy,,1 oz,,,,,,,Nutmeg,Shake with ice and strain into cocktail glass. Top with nutmeg.,Cocktail Glass,6
After Dinner Cocktail,Cocktail Classics,1 oz, Apricot Flavored Brandy,1 oz, Triple Sec,,1 oz,,,,,,,Lime Slice,Shake with ice and strain into cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Harvest Moon,Whiskies,1.5 oz, Straight rye whiskey,1 oz, Lillet Blanc,,.5 oz,.25 oz, Green Chartreuse,2 oz, Angostura Bitters,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Red Raider,Cocktail Classics,1 oz, Bourbon,.5 oz, Triple Sec,,1 oz,1 oz, Grenadine,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Vodka and Apple Juice,Vodka,2 oz, Vodka,, Apple juice,,,,,,,,,,Pour vodka into ice-filled highball glass. Fill with apple juice and stir.,Highball Glass,7
Mint Julep (Southern Style),Cocktail Classics,5 Sprigs,Mint,1 oz, Powdered Sugar,,2 oz,2.5 oz, Bourbon,,,,,Mint,"In silver mug or collins glass, dissolve powdered sugar with water. Fill with finely shaved ice and add bourbon. Stir until glass is heavily frosted, adding more ice if necessary. (Do not hold glass with hand while stirring.) Garnish with mint so that the tops are about two inches above the rim of glass. Use short straws so that it will be necessary to bury nose in mint, which is intended for scent rather than taste.",Collins Glass,14
Limestone,Cocktail Classics,1.5 oz, Bourbon,, Collins Mix,,,,,,,,,,"Into ice-filled highball glass, pour bourbon, fill glass with collins mix, and add lime juice to taste.",Highball Glass,7
Grounds For Divorce,Whiskies,1.5 oz, Straight rye whiskey,.75 oz, Kirschwasser,,.25 oz,.5 oz, Amaro,,,,,Orange Twist,Stir and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Gentleman's Cocktail,Cocktail Classics,1.5 oz, Bourbon,.5 oz, Brandy,,.5 oz,, Club Soda,,,,,Lemon Twist,"Pour bourbon, brandy, and creme de menthe over ice into highball glass. Add club soda and garnish with a lemon twist.",Highball Glass,7
Dixie Julep,Cocktail Classics,1 oz, Powdered Sugar,2.5 oz, Bourbon,,,,,,,,,Mint,Put sugar and bourbon into collins glass. Fill with crushed ice and stir gently until glass is frosted. Garnish with mint. Serve with straws.,Collins Glass,14
