name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Harrington,Vodka,1.5 oz, Vodka,.25 oz, Triple Sec,,1 oz,,,,,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
El Profesor,Brandy,1 oz, Pisco,.5 oz, Punt e Mes,,.5 oz,2 oz, Aromatic bitters,,,,,Lemon Twist,Stir with ice and strain into chilled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Leap Year Cocktail,Cocktail Classics,1.25 oz, Gin,.5 oz, Orange Flavored Gin,,.5 oz,.25 oz, Lemon Juice,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lasky Cocktail,Cocktail Classics,.75 oz, Grape Juice,.75 oz, Swedish Punch,,.75 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lady Love Fizz,Cocktail Classics,1 oz, Powdered Sugar,.5 oz, Juice of a Lemon,,1 oz,2 oz, Gin,2 oz, Light cream,,,,Shake with ice and strain into cocktail glass over two ice cubes. Fill with carbonated water and stir.,Cocktail Glass,6
Handball Cooler,Vodka,1.5 oz, Vodka,, Soda water,,.5 oz,,,,,,,Lime Slice,Pour vodka into ice-filled highball glass. Fill almost to top with soda water. Top with orange juice and stir. Garnish with a lime slice.,Highball Glass,7
Hyatt's Jamaican Banana,Cocktail Classics,.5 oz, Light Rum,.5 oz, White creme de cacao,,.5 oz,2 oz, Vanilla Ice Cream,1 oz, half-and-half,,1 oz,"Banana Slice, Strawberry, Nutmeg","Blend, then garnish with a banana slice, a strawberry, and nutmeg, and serve in a large brandy snifter.",poco_grande,8
H.P.W. Cocktail,Cocktail Classics,1.5 oz, Dry Vermouth,1.5 oz, Sweet Vermouth,,1.5 oz,,,,,,,Orange Twist,Stir with ice and strain into cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Hot Shot Margarita,Cocktail Classics,2 oz, Tequila,1 oz, Hot Shot Tropical Fruit Liqueur,,1.5 oz,,,,,,,Salt,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass.",Cocktail Glass,6
The Groupie,Vodka,3 oz, Lemon wedges,.5 oz, Superfine sugar,,,2 oz, Ginger beer,,,,,,Muddle lemons and sugar in mixing glass. Add vodka and ice and shake. Strain into ice-filled old-fashioned glass and top with ginger beer.,Old-Fashioned Glass,6
Hot Brandy Flip,Cocktail Classics,1,Whole Egg,1 oz, Powdered Sugar,,,1.5 oz, Hot milk,,,,,Nutmeg,"Beat egg, sugar, and brandy; pour into mug and fill with hot milk. Stir. Top with nutmeg.",ROCK,10
Grape Nehi,Vodka,1 oz, Vodka,1 oz, Raspberry-flavored liqueur,,,1 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Hole-in-One Cocktai,Cocktail Classics,1.75 oz, Scotch,.75 oz, Vermouth,,,.25 oz,1 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Grapefruit Gimlet Royale,Vodka,1.5 oz, Vodka,1 oz,  grapefruit juice,,,.25 oz,.25 oz,2 oz, Chilled Champagne,,,,Shake first four ingredients with ice and strain into chilled cocktail glass. Top with Champagne.,Cocktail Glass,6
Hair Raiser,Cocktail Classics,1.5 oz, 100-proof Vodka,.5 oz, Rock and Rye,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Godmother,Vodka,1.5 oz, Vodka,.75 oz, Amaretto,,,,,,,,,,Combine in ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Green Opal,Cocktail Classics,.5 oz, Gin,.5 oz, Anisette,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Green Hornet (Dry),Cocktail Classics,2 oz, Lime Vodka,, Lemon-lime soda,,,,,,,,1 oz,Lime Slice,"Pour lime vodka over ice cubes in a collins glass. Fill with lemon-lime soda, stir, and garnish with a lime slice.",Collins Glass,14
Green Fizz,Cocktail Classics,1 oz, Powdered Sugar,1 oz, Egg White,,,.5 oz,2 oz,1 oz, Green creme de menthe,,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,7
Godchild,Vodka,1 oz, Vodka,1 oz, Amaretto,,,1 oz,,,,,,,Shake well with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Grape Vodka Froth,Cocktail Classics,1.5 oz, Vodka,1 oz, Grape Juice,,,1 oz,1 oz,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Grapefruit Nog,Cocktail Classics,1.5 oz, Brandy,.5 oz, Grapefruit Juice,,,1 oz,1 oz,1 oz, Whole Egg,,,,Blend all ingredients with a cup of crushed ice at low speed and pour into collins glass over ice cubes.,Collins Glass,14
Golden Slipper,Cocktail Classics,.75 oz, Yellow Chartreuse,2 oz, Apricot-Flavored Brandy,,,,,,,,,Egg Yolk,Stir with ice and strain into cocktail glass. Top with an unbroken egg yolk.,Cocktail Glass,6
Golden Freindship,Cocktail Classics,, Amaretto,, Sweet Vermouth,,,,,,,,,"Orange Twist, Cherry",Mix equal parts in a collins glass over ice and fill with ginger ale. Garnish with an orange twist and a cherry.,Collins Glass,14
Golden Frappe,Cocktail Classics,1 oz, Orange Juice,2 oz, Lemon Juice,,,1 oz,1 oz,,,,,,"Stir orange juice, lemon juice, and sugar in collins glass. Add crushed ice and port.",Collins Glass,14
Glass Tower,Vodka,1 oz, Vodka,1 oz, Peach schnapps,,,1 oz,1 oz,.5 oz, Sambuca,,,"Orange Slice, Cherry","Pour first five ingredients into Collins glass. Add ice, then fill with lemon-lime soda and stir. Garnish with an orange slice and a cherry.",Collins Glass,14
Golden Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,.5 oz, Powdered Sugar,,,1.5 oz,1 oz,,,,,,Shake with ice and strain into highball glass. Fill with carbonated water.,Highball Glass,7
Gloom Lifter,Cocktail Classics,1 oz, Blended whiskey,.5 oz, Brandy,,,.5 oz,1 oz,.5 oz, Sugar,,.5 oz,,Shake with ice and strain into highball glass with ice cubes.,Highball Glass,7
Georgia Peach,Vodka,1.5 oz, Vodka,.5 oz, Peach schnapps,,,1 oz, Lemonade,,,,,,Stir first three ingredients in Collins glass. Add ice and stir again. Fill with lemonade.,Collins Glass,14
Georgia Mule,Vodka,1 oz," Peach slice, skinned",1.5 oz, Vodka,,,.5 oz,2 oz,, Ginger beer,,,Peach Slice,"Muddle 1 peach slice in Collins glass. Add vodka, lemon juice, and bitters, then stir. Fill with ice and ginger beer; stir again. Garnish with a peach slice.",Collins Glass,14
Gentle Ben,Vodka,1 oz, Vodka,1 oz, Gin,,,1 oz, Orange juice,,,,,"Orange Slice, Cherry",Shake first three ingredients with ice and pour into ice-filled Collins glass. Fill with orange juice and stir. Garnish with an orange slice and a cherry.,Collins Glass,14
East India Cocktail No. 1,Brandy,1.5 oz, Brandy,.5 oz, Jamaica Rum,,,.5 oz,.5 oz,1 oz, Angostura Bitters,,,"Lemon Twist, Cherry",Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist and a cherry.,Cocktail Glass,6
General Harrison's Eggnog,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,,,,,,,,Nutmeg,Shake with ice and strain into collins glass. Fill glass with red wine and stir. Top with nutmeg.,Collins Glass,14
Gables Collins,Vodka,1.5 oz, Vodka,1 oz, Creme de noyaux,,,.5 oz,.5 oz,, Soda water,,,"Lemon Slice, Pineapple Slice",Shake first four ingredients with ice and strain into ice-filled Collins glass. Fill with soda water. Garnish with a lemon slice and a pineapple slice.,Collins Glass,14
Frozen Brandy and Rum,Cocktail Classics,1.5 oz, Brandy,1 oz, Light Rum,,,1 oz,1 oz,1 oz, Powdered Sugar,,,,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6
Frozen Apple,Cocktail Classics,1.5 oz, Applejack,1 oz, Lime Juice,,,1 oz,.5 oz,,,,,,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6
Frisky Witch,Vodka,1 oz, Vodka,1 oz, Sambuca,,,,,,,,,Licorice,Stir in old-fashioned glass. Add ice and stir again. Garnish with licorice.,Old-Fashioned Glass,6
Froth Blower Cocktail,Cocktail Classics,1 oz, Egg White,2 oz, Gin,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
French Martini,Vodka,1.5 oz, Vodka,.75 oz, Black raspberry liqueur,,,.75 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Flatiron Martini,Vodka,1 oz, Splash triple sec,1.5 oz, Orange-flavored vodka,,,1.5 oz,,,,,,Orange Slice,Swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. Stir vodka and Lillet with ice and strain into glass. Garnish with an orange slice.,Cocktail Glass,6
Favourite Cocktail,Cocktail Classics,.75 oz, Apricot-Flavored Brandy,.75 oz, Dry Vermouth,,,.75 oz,.25 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Electric Jam,Vodka,1.25 oz, Vodka,.5 oz, Blue curacao,,,1 oz,1 oz,, Lime soda,,,,Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.,Collins Glass,14
Fairy Belle Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Grenadine,,,.75 oz,1.5 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Duke Cocktail,Cocktail Classics,.5 oz, Triple Sec,1 oz, Orange Juice,,,2 oz,.5 oz,1 oz, Whole Egg,,,,"Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir.",champagne_flute,6
Dreamy Dorini Smoking Martini,Vodka,2 oz, Vodka,.5 oz," Smoky Scotch, such as Laphroaig",,,4 oz,,,,,,Lemon Twist,Stir with ice and strain into a chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Dubonnet Highball,Cocktail Classics,2 oz, Dubonnet ,,ginger ale,,,,,,,,,Lemon Twist,"Put Dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7
Dubonnet Fizz,Cocktail Classics,.5 oz, Juice of Orange,.25 oz, Juice of a Lemon,,,1 oz,2 oz,,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Dubonnet Cocktail,Cocktail Classics,1.5 oz, Dubonnet,.75 oz, Gin,,,1 oz,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Doctor Cook,Cocktail Classics,.75 oz, Gin,1 oz, Lemon Juice,,,1 oz,1 oz,,,,,,Shake with ice and strain into wine glass.,poco_grande,12
Desert Sunrise,Vodka,1.25 oz, Vodka,1.5 oz,  orange juice,,,1.5 oz,1 oz,,,,,,Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.,Collins Glass,14
Dillatini,Cocktail Classics,1.5 oz, Gin,.75 oz, Dry Vermouth,,,,,,,,,Dilly Bean,Stir or shake with ice and strain into cocktail glass. Garnish with a dilly bean. ,Cocktail Glass,6
Devil's Cocktail,Cocktail Classics,.5 oz, Lemon Juice,1.5 oz, Port,,,1.5 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
